x = 0.050000, Nx = 9012086
x = 0.100000, Nx = 9011951
x = 0.150000, Nx = 9008919
x = 0.200000, Nx = 9002763
x = 0.250000, Nx = 8992338
x = 0.300000, Nx = 2339392
x = 0.350000, Nx = 2338375
x = 0.400000, Nx = 2337045
x = 0.450000, Nx = 2335422
x = 0.500000, Nx = 2334828
x = 0.550000, Nx = 2334317
x = 0.600000, Nx = 2333774
x = 0.650000, Nx = 2333459
x = 0.700000, Nx = 2333302
x = 0.750000, Nx = 2332144
x = 0.800000, Nx = 2331766
x = 0.850000, Nx = 2331440
x = 0.900000, Nx = 2330377
x = 0.950000, Nx = 2329387
